site,v1,v2,v3,site.group.ind,date.v1,date.v2,date.v3,wind.v1,wind.v2,wind.v3
Atl1_20,0,0,NA,1,7/23/2020,8/19/2020,NA,4,0,NA
Atl1_21,0,0,0,1,7/15/2021,8/19/2021,9/28/2021,4,3,3
Atl1_22,0,0,0,1,8/11/2022,9/13/2022,10/15/2022,2,3,2
Atl2_20,0,0,NA,1,7/24/2020,8/19/2020,NA,4,2,NA
Atl2_21,2,0,0,1,7/15/2021,8/19/2021,9/28/2021,4,4,3
Atl2_22,4,0,0,1,8/11/2022,9/13/2022,10/15/2022,3,4,3
Atl3_20,0,0,NA,1,7/24/2020,8/19/2020,NA,3,1,NA
Atl3_21,0,0,0,1,7/15/2021,8/19/2021,9/28/2021,5,1,3
Atl3_22,0,0,0,1,8/11/2022,9/13/2022,10/15/2022,2,2,1
DL1_20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
DL1_21,0,0,0,3,8/3/2021,8/25/2021,9/24/2021,1,1,2
DL1_22,0,0,0,3,8/9/2022,9/11/2022,10/8/2022,0,4,0
DL2_20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
DL2_21,2,0,0,3,8/3/2021,8/25/2021,9/24/2021,3,2,1
DL2_22,0,1,0,3,8/9/2022,9/11/2022,10/8/2022,1,3,0
DL3_20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
DL3_21,1,0,0,3,8/3/2021,8/25/2021,9/24/2021,2,3,1
DL3_22,0,0,0,3,8/9/2022,9/11/2022,10/8/2022,1,2,0
DryFork1_20,0,1,NA,2,7/22/2020,8/20/2020,NA,4,3,NA
DryFork1_21,0,1,0,2,7/14/2021,8/18/2021,9/27/2021,3,1,3
DryFork1_22,0,1,0,2,7/26/2022,8/30/2022,10/6/2022,3,3,4
DryFork2_20,0,1,NA,2,7/22/2020,8/20/2020,NA,4,3,NA
DryFork2_21,0,0,0,2,7/14/2021,8/18/2021,9/27/2021,4,1,4
DryFork2_22,0,0,0,2,7/26/2022,8/30/2022,10/6/2022,3,3,4
Fire1_20,0,0,0,4,7/10/2020,8/8/2020,9/14/2020,3,3,3
Fire1_21,0,0,0,4,7/8/2021,8/11/2021,9/23/2021,3,3,2
Fire1_22,0,0,0,4,8/8/2022,9/10/2022,10/8/2022,5,3,2
Fire2_20,0,0,0,4,7/13/2020,8/8/2020,9/14/2020,4,1,3
Fire2_21,0,0,0,4,7/8/2021,8/11/2021,9/23/2021,3,3,2
Fire2_22,0,0,0,4,8/8/2022,9/10/2022,10/8/2022,4,0,2
Fire3_20,0,0,0,4,7/13/2020,8/8/2020,9/14/2020,3,5,4
Fire3_21,0,0,0,4,7/8/2021,8/11/2021,9/23/2021,4,4,3
Fire3_22,0,0,0,4,8/8/2022,9/10/2022,10/8/2022,4,1,0
Gab1_20,1,0,NA,5,7/29/2020,8/27/2020,NA,1,1,NA
Gab1_21,0,0,0,5,7/12/2021,8/23/2021,10/5/2021,0,2,3
Gab1_22,0,1,0,5,8/2/2022,9/1/2022,10/8/2022,3,2,0
Gab2_20,0,0,NA,5,7/30/2020,8/27/2020,NA,0,1,NA
Gab2_21,0,0,0,5,7/12/2021,8/23/2021,10/5/2021,0,3,3
Gab2_22,0,0,0,5,8/2/2022,9/1/2022,10/8/2022,2,4,0
Gab3_20,0,0,NA,5,7/30/2020,8/28/2020,NA,0,0,NA
Gab3_21,0,0,0,5,7/12/2021,8/23/2021,10/5/2021,0,6,3
Gab3_22,0,0,0,5,8/2/2022,9/1/2022,10/8/2022,4,4,1
Kup1_20,0,0,1,6,7/17/2020,8/18/2020,9/18/2020,2,1,2
Kup1_21,0,0,NA,6,8/16/2021,9/8/2021,NA,5,2,NA
Kup1_22,1,6,0,6,8/9/2022,9/3/2022,10/16/2022,3,0,1
Kup2_20,0,0,0,6,7/17/2020,8/18/2020,9/18/2020,1,3,2
Kup2_21,0,0,NA,6,8/16/2021,9/8/2021,NA,5,2,NA
Kup2_22,2,0,0,6,8/9/2022,9/3/2022,10/16/2022,2,0,1
Kup3_20,2,3,0,6,7/24/2020,8/18/2020,9/18/2020,3,3,2
Kup3_21,0,3,NA,6,8/16/2021,9/8/2021,NA,6,1,NA
Kup3_22,0,0,0,6,8/9/2022,9/3/2022,10/16/2022,2,1,1
Numa1_20,NA,5,0,7,NA,8/5/2020,9/2/2020,NA,1,4
Numa1_21,0,0,NA,7,8/9/2021,9/9/2021,NA,1,3,NA
Numa1_22,0,0,0,7,7/21/2022,9/8/2022,10/8/2022,2,3,3
Numa2_20,NA,0,0,7,NA,8/5/2020,9/2/2020,NA,1,2
Numa2_21,0,0,NA,7,8/9/2021,9/9/2021,NA,0,2,NA
Numa2_22,0,0,0,7,7/21/2022,9/8/2022,10/8/2022,1,3,5
Numa3_20,NA,0,0,7,NA,8/5/2020,9/2/2020,NA,3,5
Numa3_21,0,0,NA,7,8/9/2021,9/9/2021,NA,1,3,NA
Numa3_22,0,0,0,7,7/21/2022,9/8/2022,10/8/2022,3,3,5
Oldman_20,0,3,NA,2,7/23/2020,8/19/2020,NA,2,1,NA
Oldman_21,0,4,0,2,7/14/2021,8/18/2021,9/27/2021,3,0,3
Oldman_22,0,1,0,2,7/26/2022,8/30/2022,9/16/2022,0,4,3
Poia1_20,0,0,NA,8,7/28/2020,8/29/2020,NA,3,4,NA
Poia1_21,0,0,0,8,7/20/2021,8/12/2021,9/16/2021,3,1,3
Poia1_22,0,0,0,8,7/27/2022,8/29/2022,10/10/2022,2,3,7
Poia2_20,0,0,NA,8,7/28/2020,8/29/2020,NA,3,2,NA
Poia2_21,1,0,0,8,7/20/2021,8/12/2021,9/16/2021,4,2,1
Poia2_22,0,0,0,8,7/27/2022,8/29/2022,10/10/2022,2,3,4
Poia3_20,0,0,NA,8,7/27/2020,8/29/2020,NA,2,4,NA
Poia3_21,0,2,0,8,7/20/2021,8/12/2021,9/16/2021,4,2,3
Poia3_22,0,0,0,8,7/27/2022,8/29/2022,10/10/2022,2,3,4
Scenic1_20,0,1,NA,9,7/14/2020,8/10/2020,NA,3,2,NA
Scenic1_21,0,0,NA,9,8/12/2021,9/15/2021,NA,3,7,NA
Scenic1_22,0,3,0,9,8/3/2022,9/2/2022,10/6/2022,4,1,3
Scenic2_20,0,NA,0,9,7/15/2020,NA,9/5/2020,4,NA,3
Scenic2_21,0,0,NA,9,8/12/2021,9/15/2021,NA,2,7,NA
Scenic2_22,0,0,0,9,8/3/2022,9/2/2022,10/6/2022,5,2,2
Siyeh1_20,0,0,NA,10,8/6/2020,9/4/2020,NA,0,0,NA
Siyeh1_21,0,0,NA,10,8/10/2021,9/13/2021,NA,7,1,NA
Siyeh1_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,2,5,1
Siyeh2_20,0,0,NA,10,8/6/2020,9/4/2020,NA,2,1,NA
Siyeh2_21,0,0,NA,10,8/10/2021,9/13/2021,NA,4,3,NA
Siyeh2_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,3,5,1
Siyeh3_20,0,1,NA,10,8/6/2020,9/4/2020,NA,0,1,NA
Siyeh3_21,0,2,NA,10,8/10/2021,9/13/2021,NA,3,1,NA
Siyeh3_22,0,1,0,10,7/19/2022,8/27/2022,10/5/2022,2,4,1
Siyeh4_20,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
Siyeh4_21,0,0,NA,10,8/10/2021,9/13/2021,NA,3,2,NA
Siyeh4_22,0,0,0,10,7/19/2022,8/27/2022,10/5/2022,1,4,1
